index,thread,time,run_index
0,1,0.430,0
1,1,0.594,1
2,1,0.594,2
3,1,0.427,3
4,1,0.431,4
5,2,0.412,0
6,2,0.280,1
7,2,0.297,2
8,2,0.366,3
9,2,0.276,4
10,4,0.186,0
11,4,0.217,1
12,4,0.206,2
13,4,0.197,3
14,4,0.193,4
15,8,0.396,0
16,8,0.368,1
17,8,0.359,2
18,8,0.333,3
19,8,0.356,4
20,16,0.535,0
21,16,0.863,1
22,16,0.607,2
23,16,0.868,3
24,16,0.549,4
25,32,0.683,0
26,32,0.603,1
27,32,0.842,2
28,32,0.685,3
29,32,0.652,4
