index,thread,time,run_index
0,2,0.058,0
1,2,0.054,1
2,2,0.058,2
3,2,0.053,3
4,2,0.057,4
5,4,0.072,0
6,4,0.073,1
7,4,0.074,2
8,4,0.076,3
9,4,0.079,4
10,8,0.121,0
11,8,0.113,1
12,8,0.118,2
13,8,0.117,3
14,8,0.122,4
15,16,0.183,0
16,16,0.186,1
17,16,0.180,2
18,16,0.185,3
19,16,0.186,4
20,32,0.367,0
21,32,0.363,1
22,32,0.369,2
23,32,0.370,3
24,32,0.371,4
25,64,0.734,0
26,64,0.743,1
27,64,0.721,2
28,64,0.725,3
29,64,0.726,4
