index,thread,time,run_index
0,1,0.112,0
1,1,0.108,1
2,1,0.109,2
3,1,0.108,3
4,1,0.108,4
5,2,0.057,0
6,2,0.056,1
7,2,0.056,2
8,2,0.056,3
9,2,0.056,4
10,4,0.028,0
11,4,0.028,1
12,4,0.028,2
13,4,0.028,3
14,4,0.028,4
15,8,0.016,0
16,8,0.016,1
17,8,0.016,2
18,8,0.016,3
19,8,0.016,4
20,16,0.020,0
21,16,0.019,1
22,16,0.021,2
23,16,0.021,3
24,16,0.020,4
25,32,0.018,0
26,32,0.019,1
27,32,0.019,2
28,32,0.019,3
29,32,0.018,4
