index,thread,time,run_index
0,1,0.002,0
1,1,0.002,1
2,1,0.002,2
3,1,0.002,3
4,1,0.002,4
5,2,0.004,0
6,2,0.004,1
7,2,0.003,2
8,2,0.004,3
9,2,0.004,4
10,4,0.012,0
11,4,0.012,1
12,4,0.012,2
13,4,0.012,3
14,4,0.012,4
15,8,0.040,0
16,8,0.044,1
17,8,0.037,2
18,8,0.041,3
19,8,0.043,4
20,16,0.153,0
21,16,0.226,1
22,16,0.173,2
23,16,0.183,3
24,16,0.155,4
25,32,0.510,0
26,32,0.636,1
27,32,0.464,2
28,32,0.621,3
29,32,0.523,4
