index,thread,time,run_index
0,1,0.318,0
1,1,0.314,1
2,1,0.338,2
3,1,0.326,3
4,1,0.330,4
5,2,0.218,0
6,2,0.203,1
7,2,0.200,2
8,2,0.192,3
9,2,0.154,4
10,4,0.137,0
11,4,0.146,1
12,4,0.136,2
13,4,0.130,3
14,4,0.135,4
15,8,0.194,0
16,8,0.179,1
17,8,0.178,2
18,8,0.188,3
19,8,0.178,4
20,16,0.366,0
21,16,0.349,1
22,16,0.307,2
23,16,0.372,3
24,16,0.257,4
25,32,0.469,0
26,32,0.463,1
27,32,0.478,2
28,32,0.562,3
29,32,0.543,4
