index,thread,time,run_index
0,1,0.004,0
1,1,0.005,1
2,1,0.004,2
3,1,0.004,3
4,1,0.004,4
5,2,0.006,0
6,2,0.006,1
7,2,0.005,2
8,2,0.006,3
9,2,0.006,4
10,4,0.010,0
11,4,0.009,1
12,4,0.011,2
13,4,0.015,3
14,4,0.012,4
15,8,0.025,0
16,8,0.031,1
17,8,0.015,2
18,8,0.018,3
19,8,0.015,4
20,16,0.143,0
21,16,0.141,1
22,16,0.026,2
23,16,0.223,3
24,16,0.106,4
25,32,1.130,0
26,32,1.543,1
27,32,0.190,2
28,32,0.658,3
29,32,0.671,4
