index,thread,time,run_index
0,2,1.308,0
1,2,1.346,1
2,2,1.231,2
3,2,1.236,3
4,2,1.243,4
5,4,3.799,0
6,4,3.518,1
7,4,3.040,2
8,4,3.117,3
9,4,3.778,4
10,8,4.731,0
11,8,5.056,1
12,8,4.659,2
13,8,4.582,3
14,8,4.744,4
15,16,8.444,0
16,16,7.929,1
17,16,8.604,2
18,16,8.530,3
19,16,6.079,4
20,32,4.057,0
21,32,5.340,1
22,32,5.408,2
23,32,5.228,3
24,32,5.238,4
25,64,9.440,0
26,64,10.535,1
27,64,11.189,2
28,64,11.709,3
29,64,11.111,4
